scenario_id,aggregator_type,alignment,est_threshold,lst_threshold,max_group_size,baseline_cost,aggregated_cost,savings,scenario_time,NrOfFlexOffers
267,2,1,4,4,5,287.385,283.906,3.47979,0.654883,100
268,2,1,4,4,5,334.383,329.984,4.3989,0.841401,200
269,2,1,4,4,10,29.2853,29.196,0.0892724,0.0943482,10
270,2,1,4,4,10,142.647,141.297,1.35045,0.485912,50
271,2,1,4,4,10,287.385,284.175,3.21053,0.993027,100
272,2,1,4,4,10,334.383,330.307,4.07688,1.16303,200
273,2,1,4,4,50,29.2853,29.196,0.0892724,0.0840818,10
274,2,1,4,4,50,142.647,141.486,1.16057,0.955383,50
275,2,1,4,4,50,287.385,284.574,2.81136,2.16497,100
276,2,1,4,4,50,334.383,330.808,3.57501,2.21105,200
277,2,1,6,6,5,29.2853,29.1289,0.156377,0.0553353,10
278,2,1,6,6,5,142.647,141.168,1.47935,0.300539,50
279,2,1,6,6,5,287.385,283.906,3.47979,0.660372,100
280,2,1,6,6,5,334.383,329.984,4.3989,0.808912,200
281,2,1,6,6,10,29.2853,29.196,0.0892724,0.0841211,10
282,2,1,6,6,10,142.647,141.297,1.35045,0.436053,50
283,2,1,6,6,10,287.385,284.175,3.21053,0.916378,100
284,2,1,6,6,10,334.383,330.307,4.07688,1.13745,200
285,2,1,6,6,50,29.2853,29.196,0.0892724,0.0866781,10
286,2,1,6,6,50,142.647,141.486,1.16057,0.903814,50
287,2,1,6,6,50,287.385,284.574,2.81136,2.02561,100
288,2,1,6,6,50,334.383,330.808,3.57501,2.29523,200
289,2,2,2,2,5,29.2853,29.1289,0.156377,0.0554889,10
290,2,2,2,2,5,142.647,141.168,1.47935,0.299116,50
291,2,2,2,2,5,287.385,283.906,3.47979,0.652957,100
292,2,2,2,2,5,334.383,329.984,4.3989,0.743179,200
293,2,2,2,2,10,29.2853,29.196,0.0892724,0.0855439,10
294,2,2,2,2,10,142.647,141.297,1.35045,0.432783,50
295,2,2,2,2,10,287.385,284.175,3.21053,0.913208,100
296,2,2,2,2,10,334.383,330.307,4.07688,1.04911,200
297,2,2,2,2,50,29.2853,29.196,0.0892724,0.0837843,10
298,2,2,2,2,50,142.647,141.486,1.16057,0.89875,50
299,2,2,2,2,50,287.385,284.574,2.81136,1.85792,100
300,2,2,2,2,50,334.383,330.808,3.57501,2.03241,200
301,2,2,4,4,5,29.2853,29.1289,0.156377,0.0554435,10
302,2,2,4,4,5,142.647,141.168,1.47935,0.299265,50
303,2,2,4,4,5,287.385,283.906,3.47979,0.646013,100
304,2,2,4,4,5,334.383,329.984,4.3989,0.746672,200
305,2,2,4,4,10,29.2853,29.196,0.0892724,0.0841744,10
306,2,2,4,4,10,142.647,141.297,1.35045,0.433923,50
307,2,2,4,4,10,287.385,284.175,3.21053,0.910463,100
308,2,2,4,4,10,334.383,330.307,4.07688,1.04553,200
309,2,2,4,4,50,29.2853,29.196,0.0892724,0.0862998,10
310,2,2,4,4,50,142.647,141.486,1.16057,0.898227,50
311,2,2,4,4,50,287.385,284.574,2.81136,1.86724,100
312,2,2,4,4,50,334.383,330.808,3.57501,2.13309,200
313,2,2,6,6,5,29.2853,29.1289,0.156377,0.0554706,10
314,2,2,6,6,5,142.647,141.168,1.47935,0.299925,50
315,2,2,6,6,5,287.385,283.906,3.47979,0.644681,100
316,2,2,6,6,5,334.383,329.984,4.3989,0.742358,200
317,2,2,6,6,10,29.2853,29.196,0.0892724,0.083979,10
318,2,2,6,6,10,142.647,141.297,1.35045,0.431962,50
319,2,2,6,6,10,287.385,284.175,3.21053,0.913488,100
320,2,2,6,6,10,334.383,330.307,4.07688,1.04822,200
321,2,2,6,6,50,29.2853,29.196,0.0892724,0.0835959,10
322,2,2,6,6,50,142.647,141.486,1.16057,0.902407,50
323,2,2,6,6,50,287.385,284.574,2.81136,1.85816,100
324,2,2,6,6,50,334.383,330.808,3.57501,2.13983,200
